๐€ Starting BTC Strategies Comparison (30 Days, M15)...
โ… Loaded 2880 bars for BTCUSDm
19:58:53 > alpha_v6_params_set  BTCUSDm  smc_pivot=10  ssl_baseline=100
โณ Testing alpha_v6_smc...
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:True, Bear:False) Trending:False Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:True, Bear:False) Trending:False Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:True, Bear:False) Trending:False Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:BEARISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:BEARISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:BEARISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:BEARISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:BEARISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:True, Bear:False) Trending:False Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:False Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:True) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:True) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:False, Bear:False) Trending:True Sweep:NONE
DEBUG: BTCUSDm Momentum(Bull:False, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
DEBUG: BTCUSDm Momentum(Bull:True, Bear:False) Struct(Bull:True, Bear:False) Trending:True Sweep:BULLISH_SWEEP
